client_id,cohort_label,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C2_21073,C2_First_Time_Buyer,Individual,Male,Canada,British Columbia,1998-11-06,Personal Use,Yes,Friend Referral,5
C3_30910,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,West Region,1985-08-24,Investment,No,Agent,3
C1_10869,C1_Global_Investor,Corporate,Not Applicable,Canada,Ontario,1960-09-18,Investment,No,Corporate Partnership,5
C3_30218,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1983-11-30,Investment,Yes,Agent,5
C2_20042,C2_First_Time_Buyer,Individual,Male,United States,West Coast,1990-12-02,Personal Use,Yes,Digital,4
C2_20361,C2_First_Time_Buyer,Individual,Male,United Kingdom,North West,1994-05-24,Personal Use,Yes,Agent,2
C1_10356,C1_Global_Investor,Individual,Male,Hong Kong,,1983-09-19,Investment,No,Direct,4
C2_20162,C2_First_Time_Buyer,Individual,Other,United States,Southeast,1999-05-03,Personal Use,No,Friend Referral,2
C3_30265,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1971-01-05,Investment,No,Agent,5
C3_30752,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,North Region,1985-01-26,,No,Agent,4
C2_20438,C2_First_Time_Buyer,Individual,Other,Canada,British Columbia,1992-03-31,Personal Use,Yes,Agent,4
C4_40103,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,North West,1973-12-30,Investment,No,Direct,4
NX_50540,Noise,Individual,Male,Hong Kong,,1975-09-06,Personal Use,No,Social Media,1
NX_50193,Noise,Corporate,Not Applicable,Hong Kong,New Territories,1967-12-21,Investment,Yes,Agent,2
C4_40139,C4_Luxury_Investor,Corporate,Not Applicable,Switzerland,Zug,1978-08-20,Investment,No,Agent,5
C2_20253,C2_First_Time_Buyer,Individual,Female,United States,Midwest,1994-11-03,Personal Use,Yes,Digital,2
C3_30865,C3_Corporate_Buyer,Corporate,,UAE,Sharjah,1975-07-22,Investment,No,Agent,4
C1_10332,C1_Global_Investor,Individual,Other,Hong Kong,Hong Kong Island,1986-10-24,Investment,No,Agent,5
C4_40194,C4_Luxury_Investor,Individual,,Singapore,West Region,1980-10-13,Investment,No,Direct,5
C4_40068,C4_Luxury_Investor,Corporate,Not Applicable,France,Provence,1984-01-18,Investment,Yes,Direct,4
C3_30228,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1983-01-12,Investment,Yes,Agent,3
C4_40167,C4_Luxury_Investor,Individual,Other,Monaco,Fontvieille,1966-04-17,Investment,No,Agent,5
C2_20630,C2_First_Time_Buyer,Individual,Male,Australia,New South Wales,1988-10-15,Personal Use,Yes,Digital,5
C2_20116,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1991-05-31,Personal Use,Yes,Agent,3
C2_20849,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1988-09-11,Personal Use,Yes,Agent,4
C4_40054,C4_Luxury_Investor,Individual,Female,Monaco,Les Moneghetti,1974-09-29,Investment,No,Corporate Partnership,4
C3_30653,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,South East,1985-02-13,Investment,No,Corporate Partnership,3
C3_30765,C3_Corporate_Buyer,Corporate,Not Applicable,Germany,Hamburg,1971-11-14,Investment,Yes,Corporate Partnership,3
C2_20665,C2_First_Time_Buyer,Individual,Male,Canada,Quebec,1998-11-23,Personal Use,Yes,Agent,4
C1_10445,C1_Global_Investor,Corporate,Not Applicable,Australia,Western Australia,1965-03-13,Investment,No,Corporate Partnership,4
C2_21245,C2_First_Time_Buyer,Individual,Female,United States,Southeast,1999-08-11,Personal Use,Yes,Friend Referral,3
C1_10452,C1_Global_Investor,Individual,Other,Hong Kong,Hong Kong Island,1979-02-21,Investment,No,Agent,5
C2_20551,C2_First_Time_Buyer,Individual,Other,Australia,Western Australia,1989-02-20,Personal Use,Yes,Digital,4
NX_50034,Noise,Individual,Male,Australia,,1983-11-29,Investment,Yes,Social Media,3
C3_30454,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,Central Region,1964-12-02,Investment,No,Corporate Partnership,3
C1_10014,C1_Global_Investor,Individual,Male,Hong Kong,Hong Kong Island,1988-01-07,Personal Use,,Agent,5
C4_40128,C4_Luxury_Investor,Individual,Other,Monaco,Fontvieille,1986-06-03,Investment,No,Corporate Partnership,5
C1_10945,C1_Global_Investor,Individual,Female,Singapore,North Region,1960-09-20,Personal Use,,Corporate Partnership,4
C1_10247,C1_Global_Investor,Corporate,Not Applicable,Canada,British Columbia,1971-02-09,Investment,No,Direct,4
NX_50297,Noise,Individual,Male,Hong Kong,Hong Kong Island,1997-03-21,Investment,Yes,Friend Referral,3
C1_10360,C1_Global_Investor,Individual,Male,Japan,Nagoya,1968-02-01,Investment,Yes,Agent,5
NX_50256,Noise,Individual,Female,Canada,,1959-06-23,Personal Use,,Social Media,5
C2_20614,C2_First_Time_Buyer,Individual,Male,United States,West Coast,1994-07-28,Personal Use,No,,3
C2_21303,C2_First_Time_Buyer,Individual,Male,United States,Southeast,1997-01-21,Personal Use,Yes,Friend Referral,4
C4_40641,C4_Luxury_Investor,Individual,Female,Monaco,Les Moneghetti,1974-10-29,Investment,No,Agent,5
C3_30668,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Northeast,1973-03-05,,No,Agent,4
C2_21478,C2_First_Time_Buyer,Individual,Other,Australia,New South Wales,1992-08-20,Personal Use,Yes,Friend Referral,3
C4_40714,C4_Luxury_Investor,Individual,Other,UAE,Dubai,1972-09-25,Personal Use,No,Friend Referral,5
C4_40680,C4_Luxury_Investor,Corporate,Not Applicable,Switzerland,Basel,1974-11-29,Personal Use,No,Direct,5
NX_50484,Noise,Individual,Other,United Kingdom,North West,1951-01-11,Personal Use,Yes,Corporate Partnership,3
C3_30663,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,North Region,1970-05-01,Personal Use,No,Agent,4
C1_10490,C1_Global_Investor,Individual,Male,United Kingdom,London,1985-10-12,Investment,No,Direct,5
C1_10862,C1_Global_Investor,Individual,Male,Canada,British Columbia,1969-04-24,Investment,No,Agent,5
C2_20740,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1998-05-11,Personal Use,No,Digital,2
C4_40599,C4_Luxury_Investor,Corporate,Not Applicable,United States,Southeast,1957-02-08,Investment,No,Corporate Partnership,5
C4_40885,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,North West,1962-09-11,Investment,No,Corporate Partnership,5
C2_21447,C2_First_Time_Buyer,Corporate,Other,Australia,New South Wales,2000-02-08,Personal Use,Yes,Social Media,3
C4_40730,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,,1964-09-04,,No,Direct,5
C1_10506,C1_Global_Investor,Corporate,Not Applicable,UAE,Sharjah,1985-11-21,Investment,No,Agent,5
C3_30177,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,,1988-02-09,Investment,Yes,Agent,4
C3_30495,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,South East,1985-03-25,Personal Use,Yes,Agent,3
C2_20942,C2_First_Time_Buyer,Individual,Other,Canada,Alberta,1998-11-29,Personal Use,Yes,Agent,4
C2_20222,C2_First_Time_Buyer,Individual,Male,Canada,Ontario,1993-03-06,Personal Use,Yes,Digital,5
C2_20113,C2_First_Time_Buyer,Individual,Male,United Kingdom,Midlands,1990-06-09,Personal Use,,Digital,4
C2_20905,C2_First_Time_Buyer,Individual,Male,United States,West Coast,2001-12-23,Personal Use,Yes,Social Media,3
C3_30923,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,North Region,1979-01-28,Personal Use,No,Corporate Partnership,5
C2_20877,C2_First_Time_Buyer,Individual,Other,United Kingdom,London,1992-07-08,Personal Use,No,Friend Referral,2
NX_50272,Noise,Corporate,,Singapore,Central Region,1975-04-28,Investment,Yes,Corporate Partnership,4
C1_10433,C1_Global_Investor,Individual,Male,Canada,Ontario,1982-02-18,Investment,No,Corporate Partnership,5
C2_21364,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1997-12-07,Personal Use,Yes,Friend Referral,4
C3_30654,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,East Region,1984-02-12,Investment,No,Corporate Partnership,2
C3_30335,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,Central Region,1988-02-13,Investment,No,Direct,5
C2_21092,C2_First_Time_Buyer,Individual,Male,United States,West Coast,1993-08-26,Personal Use,Yes,Digital,3
C3_30510,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,North Region,1976-09-12,Investment,Yes,Direct,4
C3_30662,C3_Corporate_Buyer,Corporate,Not Applicable,Germany,Berlin,1986-01-28,Investment,Yes,Direct,4
C3_30445,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Midlands,1988-03-28,Investment,No,Direct,3
C4_40416,C4_Luxury_Investor,Individual,Other,Switzerland,Zug,1965-01-07,Investment,No,Corporate Partnership,5
C3_30416,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,East Region,1988-11-20,Personal Use,No,Agent,3
C2_20102,C2_First_Time_Buyer,Individual,Male,United States,West Coast,1993-01-15,Personal Use,No,Agent,4
C2_20448,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1998-01-24,Personal Use,Yes,Direct,5
C2_20720,C2_First_Time_Buyer,Individual,Female,United States,Southwest,1990-02-21,Personal Use,Yes,Agent,3
NX_50118,Noise,Individual,,United States,Northeast,1984-11-15,Investment,No,Corporate Partnership,1
C4_40342,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,Scotland,1972-11-03,Investment,No,Corporate Partnership,3
C1_10156,C1_Global_Investor,Corporate,Not Applicable,Germany,Berlin,1989-10-24,Investment,Yes,Agent,4
C3_30478,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Midlands,1969-09-29,Investment,Yes,Direct,4
C2_20773,C2_First_Time_Buyer,Individual,Other,United States,Southwest,1994-12-11,Personal Use,Yes,Friend Referral,4
C1_10615,C1_Global_Investor,Corporate,Not Applicable,Germany,North Rhine-Westphalia,1986-07-21,Investment,No,Corporate Partnership,4
C1_10643,C1_Global_Investor,Individual,Male,UAE,Abu Dhabi,1973-01-13,Investment,Yes,Direct,5
C2_20935,C2_First_Time_Buyer,Individual,Other,Canada,British Columbia,1994-05-29,Investment,Yes,Agent,3
C4_40777,C4_Luxury_Investor,Individual,Male,Monaco,Monte Carlo,1955-03-21,Investment,No,Direct,5
C2_20068,C2_First_Time_Buyer,Individual,,Australia,Victoria,1998-02-21,Personal Use,Yes,Digital,4
NX_50054,Noise,Individual,Female,Japan,,1961-07-20,Investment,No,Corporate Partnership,3
C4_40654,C4_Luxury_Investor,Corporate,Not Applicable,Singapore,West Region,1981-04-25,Investment,No,Direct,4
C4_40739,C4_Luxury_Investor,Corporate,Not Applicable,France,Normandy,1962-02-11,Investment,,Agent,5
NX_50468,Noise,Individual,Female,UAE,Dubai,1999-01-20,Investment,No,Corporate Partnership,2
C1_10330,C1_Global_Investor,Individual,Other,Germany,Berlin,1969-08-02,Investment,No,Agent,4
C2_21057,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1999-07-27,Personal Use,Yes,Digital,2
C3_30146,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Dubai,1972-11-03,Investment,No,Agent,5
C2_21191,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1995-12-15,Personal Use,Yes,Digital,3
C1_10622,C1_Global_Investor,Individual,Other,Germany,Bavaria,1976-09-09,Investment,No,Corporate Partnership,5
C2_20595,C2_First_Time_Buyer,Individual,Male,United States,Northeast,2001-05-23,Personal Use,Yes,Digital,4
C3_30415,C3_Corporate_Buyer,Corporate,,United States,Northeast,1971-07-29,Investment,No,Corporate Partnership,5
NX_50421,Noise,Corporate,Not Applicable,United Kingdom,Midlands,1980-07-01,Investment,No,Digital,4
C4_40398,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Les Moneghetti,1960-07-21,Investment,No,Agent,5
C2_20919,C2_First_Time_Buyer,Individual,Female,United States,West Coast,2001-03-03,Personal Use,No,Digital,4
C4_40673,C4_Luxury_Investor,Corporate,Not Applicable,Singapore,East Region,1967-09-16,Investment,No,Direct,5
NX_50077,Noise,Individual,Male,Switzerland,Geneva,1951-07-27,Personal Use,No,Digital,4
C1_10755,C1_Global_Investor,Corporate,Not Applicable,Canada,Quebec,1968-03-01,Personal Use,No,Digital,5
C1_10518,C1_Global_Investor,Corporate,Not Applicable,Hong Kong,New Territories,1975-05-31,Investment,No,Corporate Partnership,5
C4_40303,C4_Luxury_Investor,Individual,Female,United Kingdom,Midlands,1979-09-13,Investment,No,Direct,4
C1_10032,C1_Global_Investor,Individual,Male,Canada,Ontario,1993-07-28,Investment,No,Direct,5
C3_30437,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Scotland,1988-07-16,Investment,Yes,Corporate Partnership,5
C2_20157,C2_First_Time_Buyer,Individual,,United States,West Coast,1997-05-22,Personal Use,No,Social Media,3
C1_10744,C1_Global_Investor,Individual,Female,Australia,Western Australia,1963-01-05,Investment,No,Direct,4
C2_20497,C2_First_Time_Buyer,Individual,Male,United States,Southeast,2001-07-19,,Yes,Digital,4
C3_30959,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,North Region,1971-01-03,Personal Use,No,Corporate Partnership,4
C4_40255,C4_Luxury_Investor,Individual,Other,United Kingdom,Scotland,1969-09-21,Investment,No,Corporate Partnership,4
C3_30091,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Northeast,1986-11-07,Investment,No,Direct,5
C1_10783,C1_Global_Investor,Individual,Female,Hong Kong,New Territories,1961-07-10,Investment,No,Agent,4
C3_30993,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,,1971-07-15,Investment,No,Corporate Partnership,4
C3_30449,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Dubai,1993-05-04,Personal Use,Yes,Agent,4
C1_10229,C1_Global_Investor,Corporate,Not Applicable,Germany,Hamburg,1985-08-23,Investment,No,Direct,4
C1_10857,C1_Global_Investor,Individual,Other,Australia,Queensland,1967-08-20,Investment,No,Direct,5
C2_21266,C2_First_Time_Buyer,Individual,Female,Canada,Ontario,1990-02-11,Investment,Yes,Friend Referral,4
C4_40774,C4_Luxury_Investor,Individual,Other,France,Provence,1960-07-29,Investment,No,Direct,5
C1_10408,C1_Global_Investor,Corporate,Not Applicable,Canada,,1974-12-31,Investment,No,Digital,5
C1_10170,C1_Global_Investor,Corporate,Not Applicable,United Kingdom,,1981-08-27,Investment,Yes,Digital,4
C1_10540,C1_Global_Investor,Corporate,Not Applicable,Australia,,1978-07-24,Investment,No,Agent,4
C2_21210,C2_First_Time_Buyer,Individual,Other,Canada,Ontario,1992-07-23,Personal Use,Yes,Agent,3
C2_21304,C2_First_Time_Buyer,Corporate,Female,United States,Northeast,2001-04-20,Personal Use,Yes,Friend Referral,4
C3_30067,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1968-03-16,Investment,,Corporate Partnership,5
C1_10613,C1_Global_Investor,Individual,Female,Germany,Berlin,1975-07-11,Investment,No,Agent,5
C2_21101,C2_First_Time_Buyer,Individual,Male,United States,Midwest,1999-11-02,Personal Use,Yes,Direct,4
C2_20808,C2_First_Time_Buyer,Individual,Female,United States,,1997-02-27,Personal Use,Yes,Social Media,3
C3_30938,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Midlands,1965-05-08,Investment,,Corporate Partnership,5
C2_20161,C2_First_Time_Buyer,Individual,Other,United States,West Coast,1994-04-08,Personal Use,No,Friend Referral,3
C4_40725,C4_Luxury_Investor,Corporate,Not Applicable,Switzerland,Geneva,1983-05-01,Investment,No,Agent,5
C3_30619,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Ras Al Khaimah,1972-09-07,Personal Use,Yes,Direct,5
C4_40152,C4_Luxury_Investor,Corporate,Not Applicable,Switzerland,Zurich,1959-04-15,Investment,No,Direct,4
C2_20610,C2_First_Time_Buyer,Individual,Male,United States,,1992-10-15,Personal Use,Yes,Agent,4
C2_20932,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1988-12-08,,Yes,,2
C3_30527,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1981-10-20,Personal Use,Yes,Corporate Partnership,5
C1_10564,C1_Global_Investor,Individual,Male,Singapore,Central Region,1959-11-14,Investment,No,Direct,4
C4_40071,C4_Luxury_Investor,Individual,Male,United Kingdom,South East,1954-03-22,Investment,No,Agent,5
C4_40747,C4_Luxury_Investor,Individual,Male,France,,1954-10-03,Investment,No,Agent,5
C2_21388,C2_First_Time_Buyer,Individual,Other,United States,Southwest,1995-12-05,Personal Use,Yes,Digital,2
C2_20471,C2_First_Time_Buyer,Individual,Male,United States,Southeast,1990-12-26,Personal Use,No,Digital,4
C3_30130,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Midwest,1992-09-09,Investment,Yes,Corporate Partnership,4
C2_20835,C2_First_Time_Buyer,Individual,Male,United States,Midwest,1989-10-10,Personal Use,Yes,Digital,4
NX_50528,Noise,Individual,Female,Singapore,North Region,1968-03-08,Personal Use,Yes,Corporate Partnership,3
C3_30975,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,,1975-04-26,,Yes,Agent,4
C2_20533,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1990-11-08,Personal Use,Yes,,3
C4_40827,C4_Luxury_Investor,Individual,Male,Switzerland,Zug,1960-04-14,Investment,No,Agent,5
C2_21484,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1994-05-31,Personal Use,Yes,Social Media,4
C4_40707,C4_Luxury_Investor,Individual,Other,Singapore,North Region,1956-10-04,Investment,No,Direct,5
C2_20172,C2_First_Time_Buyer,Individual,,United Kingdom,North West,2001-07-22,Personal Use,Yes,Friend Referral,3
C2_20427,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1992-12-03,Investment,Yes,Social Media,4
C1_10325,C1_Global_Investor,Corporate,Not Applicable,Australia,,1978-08-19,Investment,No,Agent,4
C2_20051,C2_First_Time_Buyer,Individual,Female,United Kingdom,Midlands,1999-01-22,Personal Use,Yes,Digital,3
C3_30819,C3_Corporate_Buyer,Corporate,Not Applicable,Germany,North Rhine-Westphalia,1982-08-08,,No,Agent,4
NX_50321,Noise,Individual,Female,Saudi Arabia,Eastern Province,1978-07-26,Investment,No,Agent,3
C4_40364,C4_Luxury_Investor,Corporate,Not Applicable,France,Provence,1964-07-16,Investment,Yes,Direct,5
C3_30103,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1973-08-17,Personal Use,No,Agent,5
C2_20738,C2_First_Time_Buyer,Individual,Male,United States,Southeast,1997-02-07,Personal Use,Yes,Agent,3
C2_20196,C2_First_Time_Buyer,Corporate,Other,United States,Northeast,1994-06-08,Personal Use,Yes,Digital,4
C1_10620,C1_Global_Investor,Individual,Other,Canada,Ontario,1962-12-15,Investment,No,Agent,5
C2_20374,C2_First_Time_Buyer,Corporate,Other,United States,Southeast,1993-09-03,Personal Use,Yes,Digital,5
C3_30379,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Dubai,1976-03-06,Personal Use,Yes,,5
C2_20189,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1994-07-06,Personal Use,,Agent,4
C1_10328,C1_Global_Investor,Individual,Other,Canada,Quebec,1972-01-06,Investment,No,Agent,4
C1_10648,C1_Global_Investor,Corporate,Not Applicable,Canada,Ontario,1960-12-14,Investment,No,Agent,4
C1_10897,C1_Global_Investor,Corporate,Not Applicable,United Kingdom,North West,1984-05-24,Investment,No,Direct,5
C4_40382,C4_Luxury_Investor,Individual,Other,Monaco,,1962-11-15,Investment,No,Direct,5
C2_20123,C2_First_Time_Buyer,Individual,Male,United States,Midwest,1988-04-29,Personal Use,Yes,Friend Referral,4
C2_20891,C2_First_Time_Buyer,Individual,Female,Canada,Alberta,2001-01-08,Personal Use,Yes,Digital,3
NX_50243,Noise,Corporate,Not Applicable,France,Île-de-France,1957-11-27,Personal Use,Yes,Agent,3
NX_50391,Noise,Individual,Male,Canada,British Columbia,1998-12-16,Personal Use,No,Digital,4
NX_50129,Noise,Corporate,Not Applicable,Switzerland,Basel,1975-09-09,Personal Use,No,Social Media,4
C4_40734,C4_Luxury_Investor,Individual,Female,UAE,Abu Dhabi,1962-07-12,Investment,No,Corporate Partnership,5
C2_20593,C2_First_Time_Buyer,Individual,Other,United States,Midwest,2001-09-12,Personal Use,Yes,Digital,3
C3_30812,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1983-09-12,Investment,No,Corporate Partnership,4
C3_30047,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Southeast,1968-08-07,Investment,No,Direct,5
C2_20545,C2_First_Time_Buyer,Individual,Female,United Kingdom,London,1992-05-23,Personal Use,Yes,Social Media,4
C4_40836,C4_Luxury_Investor,Individual,Female,Monaco,La Condamine,1959-05-06,Investment,,Agent,4
C2_20023,C2_First_Time_Buyer,Individual,Male,United States,Northeast,1998-03-16,Personal Use,Yes,Digital,3
C2_20971,C2_First_Time_Buyer,Individual,Other,United States,,1998-04-10,Personal Use,Yes,Digital,3
NX_50588,Noise,Corporate,Not Applicable,Germany,North Rhine-Westphalia,1964-10-11,Personal Use,Yes,Agent,1
C2_20714,C2_First_Time_Buyer,Individual,Male,United Kingdom,South East,2000-04-09,Personal Use,Yes,Friend Referral,4
C2_20717,C2_First_Time_Buyer,Individual,Female,United Kingdom,Midlands,1990-10-05,Personal Use,Yes,Social Media,3
C2_20477,C2_First_Time_Buyer,Individual,Female,Canada,Ontario,1997-03-23,Personal Use,Yes,Digital,4
C1_10809,C1_Global_Investor,Individual,Male,Germany,Berlin,1984-01-21,Investment,No,Agent,5
C3_30350,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1985-12-01,Investment,No,Direct,5
C1_10978,C1_Global_Investor,Individual,Male,UAE,Sharjah,1987-08-13,,Yes,Corporate Partnership,4
NX_50287,Noise,Individual,Other,Australia,New South Wales,1963-03-22,Investment,Yes,Friend Referral,5
NX_50495,Noise,Individual,Female,Saudi Arabia,Jeddah,1960-03-29,Personal Use,No,Agent,2
C2_20684,C2_First_Time_Buyer,Individual,Female,United States,,2000-12-15,Personal Use,Yes,Social Media,5
NX_50260,Noise,Individual,Male,Saudi Arabia,Jeddah,1995-07-09,Investment,Yes,Social Media,4
C2_20514,C2_First_Time_Buyer,Individual,Other,United States,,1994-01-24,Personal Use,Yes,Digital,2
C2_21404,C2_First_Time_Buyer,Individual,Female,Australia,Western Australia,2001-07-26,Personal Use,Yes,,2
C2_21021,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1997-11-29,Personal Use,Yes,Agent,3
NX_50153,Noise,Corporate,Not Applicable,United Kingdom,Midlands,1956-07-28,Investment,No,Friend Referral,2
C2_20767,C2_First_Time_Buyer,Individual,Other,United Kingdom,South East,1996-10-04,Personal Use,Yes,Digital,3
C1_10174,C1_Global_Investor,Corporate,Not Applicable,UAE,Abu Dhabi,1992-11-04,Personal Use,No,Digital,5
C2_20554,C2_First_Time_Buyer,Individual,Other,United States,Northeast,2001-07-24,Personal Use,Yes,Agent,4
C4_40715,C4_Luxury_Investor,Individual,Other,UAE,Sharjah,1988-11-08,Investment,No,Corporate Partnership,5
C2_20482,C2_First_Time_Buyer,Individual,Female,United States,Southeast,1992-12-04,,Yes,Friend Referral,2
NX_50061,Noise,Corporate,,United Kingdom,Scotland,1957-03-27,Personal Use,No,,1
C1_10217,C1_Global_Investor,Corporate,Not Applicable,UAE,Ras Al Khaimah,1959-10-29,Investment,No,Direct,5
C4_40414,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,Scotland,1962-09-16,Investment,No,Agent,5
C4_40220,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Monte Carlo,1972-07-11,Investment,No,Agent,5
C1_10690,C1_Global_Investor,Individual,,Germany,Hamburg,1993-10-18,,Yes,Digital,4
C3_30077,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Scotland,1989-10-02,Investment,,,4
C2_21233,C2_First_Time_Buyer,Individual,Female,Canada,Quebec,2001-03-19,,Yes,Digital,3
C2_21238,C2_First_Time_Buyer,Individual,Male,United States,Midwest,1990-07-23,,Yes,Direct,4
C2_20106,C2_First_Time_Buyer,Individual,Other,Canada,Alberta,2001-03-04,Personal Use,Yes,Friend Referral,4
C2_20789,C2_First_Time_Buyer,Individual,Other,United States,Southwest,1991-02-09,Personal Use,Yes,Digital,2
C3_30688,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1989-06-23,Investment,Yes,Agent,4
C2_21436,C2_First_Time_Buyer,Individual,,Australia,New South Wales,1989-02-18,Personal Use,Yes,Friend Referral,3
C1_10611,C1_Global_Investor,Corporate,Not Applicable,Japan,Tokyo,1960-06-14,Investment,No,Corporate Partnership,5
C4_40160,C4_Luxury_Investor,Individual,Male,Monaco,La Condamine,1970-05-27,Investment,No,Agent,5
C4_40211,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,South East,1980-10-27,Investment,No,Agent,5
C1_10576,C1_Global_Investor,Individual,Other,UAE,Ras Al Khaimah,1992-01-24,Investment,Yes,Corporate Partnership,4
C2_21063,C2_First_Time_Buyer,Individual,Female,Canada,British Columbia,1990-09-01,Personal Use,No,Agent,4
NX_50035,Noise,Corporate,Not Applicable,Australia,New South Wales,1954-11-06,Personal Use,Yes,Digital,3
C2_20180,C2_First_Time_Buyer,Individual,Other,United States,Northeast,2000-07-24,Personal Use,Yes,Friend Referral,4
C1_10888,C1_Global_Investor,Individual,Other,Australia,New South Wales,1964-10-22,Investment,No,Digital,5
C3_30628,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1981-05-09,Investment,No,Corporate Partnership,4
C2_20732,C2_First_Time_Buyer,Individual,Female,Canada,Alberta,1994-04-30,Personal Use,Yes,Digital,5
C3_30163,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Southwest,1970-03-26,Investment,Yes,Corporate Partnership,3
C1_10817,C1_Global_Investor,Individual,Other,Canada,Alberta,1970-09-16,Personal Use,No,,5
C3_30777,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,South East,1993-10-16,Investment,Yes,Digital,4
C2_20859,C2_First_Time_Buyer,Individual,Female,United States,West Coast,1998-06-29,Personal Use,Yes,Social Media,1
C1_10208,C1_Global_Investor,Individual,Female,Singapore,West Region,1959-09-10,Investment,No,Direct,5
C1_10293,C1_Global_Investor,Individual,Other,Japan,Kyoto,1978-05-02,Investment,No,Agent,4
C2_20119,C2_First_Time_Buyer,Individual,,United States,Southeast,1995-02-18,,Yes,,3
C2_21213,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1997-02-03,Personal Use,Yes,Digital,2
C2_20609,C2_First_Time_Buyer,Individual,Female,United States,Midwest,1997-02-21,Personal Use,Yes,Friend Referral,1
C2_20264,C2_First_Time_Buyer,Individual,Female,United States,Midwest,1992-04-17,Personal Use,Yes,Digital,5
C1_10990,C1_Global_Investor,Corporate,Not Applicable,Hong Kong,New Territories,1979-09-13,Personal Use,Yes,Direct,4
C4_40697,C4_Luxury_Investor,Individual,Female,Singapore,West Region,1962-10-31,Investment,No,Friend Referral,5
C2_20616,C2_First_Time_Buyer,Individual,Other,United States,Southwest,1990-08-28,Personal Use,Yes,Agent,4
C1_10353,C1_Global_Investor,Individual,Female,Japan,Kyoto,1962-11-20,Investment,No,Agent,4
NX_50157,Noise,Individual,Female,Monaco,Fontvieille,1995-02-07,Personal Use,Yes,Social Media,1
